review,sentiment
"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",negative
A series of escapades demonstrating the adage that what is good for the goose,neutral
A series,neutral
A,neutral
series,neutral
of escapades demonstrating the adage that what is good for the goose,neutral
of,neutral
escapades demonstrating the adage that what is good for the goose,neutral
escapades,neutral
demonstrating the adage that what is good for the goose,neutral
demonstrating the adage,neutral
demonstrating,neutral
the adage,neutral
the,neutral
adage,neutral
that what is good for the goose,neutral
that,neutral
what is good for the goose,neutral
what,neutral
is good for the goose,neutral
is,neutral
good for the goose,positive
good,positive
for the goose,neutral
for,neutral
the goose,neutral
goose,neutral
"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",neutral
"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story",neutral
is also,neutral
also,neutral
"good for the gander , some of which occasionally amuses but none of which amounts to much of a story",neutral
"for the gander , some of which occasionally amuses but none of which amounts to much of a story",neutral
"the gander , some of which occasionally amuses but none of which amounts to much of a story",negative
"the gander ,",neutral
the gander,neutral
gander,neutral
",",neutral
some of which occasionally amuses but none of which amounts to much of a story,neutral
some of which,neutral
some,neutral
of which,neutral
which,neutral
occasionally amuses but none of which amounts to much of a story,neutral
occasionally,neutral
amuses but none of which amounts to much of a story,neutral
amuses,positive
but none of which amounts to much of a story,negative
but,neutral
none of which amounts to much of a story,negative
none,neutral
of which amounts to much of a story,neutral
which amounts to much of a story,neutral
amounts to much of a story,neutral
amounts,neutral
to much of a story,neutral
to,neutral
much of a story,neutral
much,neutral
of a story,neutral
a story,neutral
story,neutral
.,neutral
"This quiet , introspective and entertaining independent is worth seeking .",positive
"This quiet , introspective and entertaining independent",positive
This,neutral
"quiet , introspective and entertaining independent",positive
"quiet , introspective and entertaining",positive
quiet,neutral
", introspective and entertaining",positive
introspective and entertaining,positive
introspective and,positive
introspective,neutral
and,neutral
entertaining,positive
independent,neutral
is worth seeking .,positive
is worth seeking,positive
is worth,neutral
worth,neutral
seeking,neutral
"Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .",negative
Even fans of Ismail Merchant 's work,neutral
Even fans,neutral
Even,neutral
fans,positive
of Ismail Merchant 's work,neutral
Ismail Merchant 's work,neutral
Ismail Merchant 's,neutral
Ismail,neutral
Merchant 's,neutral
Merchant,neutral
's,neutral
work,neutral
", I suspect , would have a hard time sitting through this one .",negative
", I suspect ,",neutral
"I suspect ,",neutral
I suspect,neutral
I,neutral
suspect,neutral
would have a hard time sitting through this one .,negative
would have a hard time sitting through this one,negative
would,neutral
have a hard time sitting through this one,negative
have,neutral
