review,sentiment
good for the goose,positive
good,positive
amuses,positive
"This quiet , introspective and entertaining independent is worth seeking .",positive
"This quiet , introspective and entertaining independent",positive
"quiet , introspective and entertaining independent",positive
"quiet , introspective and entertaining",positive
", introspective and entertaining",positive
introspective and entertaining,positive
introspective and,positive
entertaining,positive
is worth seeking .,positive
is worth seeking,positive
fans,positive
"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .",positive
"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera",positive
"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder",positive
A positively thrilling combination,positive
positively thrilling combination,positive
positively,positive
thrilling combination,positive
thrilling,positive
intrigue,positive
a juicy soap opera,positive
juicy soap opera,positive
juicy,positive
A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,positive
A comedy-drama of nearly epic proportions,positive
of nearly epic proportions,positive
nearly epic,positive
epic,positive
rooted in a sincere performance by the title character undergoing midlife crisis .,positive
rooted in a sincere performance by the title character undergoing midlife crisis,positive
rooted in a sincere performance,positive
rooted,positive
in a sincere performance,positive
a sincere performance,positive
sincere performance,positive
sincere,positive
"The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",positive
Importance,positive
"Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",positive
"Earnest ,",positive
Earnest,positive
thick with wit it plays like a reading from Bartlett 's Familiar Quotations,positive
with wit it plays like a reading from Bartlett 's Familiar Quotations,positive
plays like a reading from Bartlett 's Familiar Quotations,positive
recommend Snow Dogs,positive
recommend,positive
a source of high hilarity,positive
of high hilarity,positive
high hilarity,positive
high,positive
hilarity,positive
Pow,positive
dream,positive
the dreams of youth,positive
The performances are an absolute joy .,positive
are an absolute joy .,positive
are an absolute joy,positive
an absolute joy,positive
absolute joy,positive
joy,positive
Fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,positive
has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,positive
has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,positive
something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,positive
to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,positive
extravagant,positive
us,positive
of good sense,positive
good sense,positive
"I still like Moonlight Mile , better judgment be damned .",positive
"still like Moonlight Mile , better judgment be damned .",positive
better,positive
"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",positive
A welcome relief from baseball movies that try too hard to be mythic,positive
A welcome relief,positive
welcome relief,positive
", this one is a sweet and modest and ultimately winning story .",positive
this one is a sweet and modest and ultimately winning story .,positive
is a sweet and modest and ultimately winning story .,positive
is a sweet and modest and ultimately winning story,positive
a sweet and modest and ultimately winning story,positive
a sweet and modest and,positive
a sweet and modest,positive
sweet and modest,positive
sweet and,positive
sweet,positive
modest,positive
ultimately winning story,positive
winning story,positive
winning,positive
"a bilingual charmer , just like the woman who inspired it",positive
"a bilingual charmer ,",positive
a bilingual charmer,positive
bilingual charmer,positive
charmer,positive
inspired,positive
Like a less dizzily gorgeous companion to Mr.,positive
dizzily gorgeous,positive
gorgeous,positive
companion,positive
In the Mood for Love -- very much a Hong Kong movie,positive
the Mood,positive
Love -- very much a Hong Kong movie,positive
Love -- very much,positive
Love --,positive
Love,positive
its mainland setting,positive
The Wild Wild West,positive
Wild,positive
"Best indie of the year , so far .",positive
Best,positive
"indie of the year , so far .",positive
"indie of the year , so far",positive
"indie of the year ,",positive
indie of the year,positive
"Hatfield and Hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications .",positive
"Hatfield and Hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications",positive
"in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications",positive
a case study that exists apart from all the movie 's political ramifications,positive
defend himself,positive
occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is,positive
is a good indication of how serious-minded the film is,positive
a good indication of how serious-minded the film is,positive
a good indication,positive
good indication,positive
how serious-minded the film is,positive
serious-minded the film,positive
is romantic comedy boilerplate from start to finish,positive
comedy,positive
"an impeccable pedigree , mongrel pep",positive
"impeccable pedigree , mongrel pep",positive
impeccable,positive
While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles,positive
The Importance of Being Earnest offers opportunities for occasional smiles and chuckles,positive
The Importance of Being Earnest,positive
offers opportunities for occasional smiles and,positive
offers opportunities for occasional smiles,positive
for occasional smiles,positive
occasional smiles,positive
give,positive
theater,positive
Wilde 's wit and,positive
appropriate,positive
Arthur Schnitzler 's Reigen,positive
"More vaudeville show than well-constructed narrative , but on those terms it 's inoffensive and actually rather sweet",positive
show than well-constructed narrative,positive
than well-constructed narrative,positive
well-constructed narrative,positive
well-constructed,positive
on those terms it 's inoffensive and actually rather sweet,positive
it 's inoffensive and actually rather sweet,positive
's inoffensive and actually rather sweet,positive
inoffensive and actually rather sweet,positive
rather sweet,positive
more than a run-of-the-mill action,positive
poetry,positive
sounding,positive
"Ice Age is the first computer-generated feature cartoon to feel like other movies , and",positive
Ice Age is the first computer-generated feature cartoon to feel like other movies,positive
is the first computer-generated feature cartoon to feel like other movies,positive
the first computer-generated feature cartoon to feel like other movies,positive
first computer-generated feature cartoon,positive
to feel like other movies,positive
considerable,positive
"followed the runaway success of his first film , The Full Monty ,",positive
"the runaway success of his first film , The Full Monty ,",positive
the runaway success,positive
runaway success,positive
success,positive
Full,positive
something different,positive
easily,positive
"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",negative
"the gander , some of which occasionally amuses but none of which amounts to much of a story",negative
but none of which amounts to much of a story,negative
none of which amounts to much of a story,negative
"Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .",negative
", I suspect , would have a hard time sitting through this one .",negative
would have a hard time sitting through this one .,negative
would have a hard time sitting through this one,negative
have a hard time sitting through this one,negative
a hard time sitting through this one,negative
a hard time,negative
hard time,negative
sitting through this one,negative
"the intrigue , betrayal , deceit and murder",negative
"betrayal , deceit and murder",negative
", deceit and murder",negative
deceit and murder,negative
deceit,negative
murder,negative
a Shakespearean tragedy,negative
tragedy,negative
soap opera,negative
Aggressive self-glorification and a manipulative whitewash .,negative
Aggressive self-glorification and a manipulative whitewash,negative
self-glorification and a manipulative whitewash,negative
self-glorification and,negative
a manipulative whitewash,negative
manipulative whitewash,negative
midlife crisis,negative
"Narratively , Trouble Every Day is a plodding mess .",negative
", Trouble Every Day is a plodding mess .",negative
Trouble Every Day is a plodding mess .,negative
Trouble,negative
is a plodding mess .,negative
is a plodding mess,negative
a plodding mess,negative
plodding mess,negative
plodding,negative
mess,negative
But it does n't leave you with much .,negative
it does n't leave you with much .,negative
does n't leave you with much .,negative
does n't leave you with much,negative
does n't,negative
leave,negative
You could hate it for the same reason .,negative
could hate it for the same reason .,negative
could hate it for the same reason,negative
